mouse,human
Dcst1,DCST1
Dcst2,DCST2
Adam22,ADAM22
Nkx6-3,NKX6-3
Adam33,ADAM33
Adamts1,ADAMTS1
Adamts13,ADAMTS13
Adamtsl4,ADAMTSL4
Tars2,TARS2
Mmp11,MMP11
Ovol3,OVOL3
Grik4,GRIK4
Grik5,GRIK5
Chrna3,CHRNA3
Trpc1,TRPC1
Cep78,CEP78
Map3k3,MAP3K3
Them6,THEM6
Gpr101,GPR101
Scn2b,SCN2B
Pcsk1,PCSK1
Cgnl1,CGNL1
Fem1b,FEM1B
Arhgap20,ARHGAP20
4930550C14Rik,C11orf65
Ankk1,ANKK1
Cysltr2,CYSLTR2
Ttc12,TTC12
Gpr27,GPR27
Nfkbiz,NFKBIZ
Gfpt2,GFPT2
Epor,EPOR
Zfp653,ZNF653
Tyk2,TYK2
Irak1,IRAK1
Ciita,CIITA
Nes,NES
Lrrc10,LRRC10
Traf1,TRAF1
Irf3,IRF3
Lrrn1,LRRN1
Atg12,ATG12
Radil,RADIL
Top3a,TOP3A
Shmt2,SHMT2
Pdgfc,PDGFC
Lrrk2,LRRK2
Ift46,IFT46
Hdc,HDC
Ankrd55,ANKRD55
Il23r,IL23R
Il6ra,IL6R
Il2rb,IL2RB
Dock5,DOCK5
Dock1,DOCK1
Il7r,IL7R
Slc7a9,SLC7A9
Fgf7,FGF7
Slc35d2,SLC35D2
Tekt3,TEKT3
Wnt9b,WNT9B
Gimap3,GIMAP5
Gimap8,GIMAP8
Ccdc89,CCDC89
Gk2,GK2
Sfi1,SFI1
Kif19a,KIF19
Plek2,PLEK2
Zfp933,ZNF333
Dmgdh,DMGDH
Nfic,NFIC
Myom3,MYOM3
Tert,TERT
Sp2,SP2
Myom1,MYOM1
Klhl5,KLHL5
Dhx40,DHX40
Zfp142,ZNF142
Slc5a9,SLC5A9
Bcar3,BCAR3
Cideb,CIDEB
Nsd1,NSD1
Ddhd2,DDHD2
Slc4a1ap,SLC4A1AP
Setd1a,SETD1A
Sbno1,SBNO1
Setd5,SETD5
Nt5dc3,NT5DC3
P4hb,P4HB
Prdm13,PRDM13
Prdm6,PRDM6
Zfp683,ZNF683
Prdm15,PRDM15
Mif,MIF
Depdc1b,DEPDC1B
Pabpn1l,PABPN1L
Dok2,DOK2
Loxl4,LOXL4
Kif17,KIF17
Ctso,CTSO
Slc23a1,SLC23A1
Nsun6,NSUN6
Gdap1l1,GDAP1L1
Xk,XK
Lrrc9,LRRC9
AAdacl4fm3,AADACL4
Aadacl3,AADACL3
Mycbpap,MYCBPAP
1700028K03Rik,C1orf146
Exosc1,EXOSC1
Mbnl3,MBNL3
Wnt3,WNT3
Arhgap5,ARHGAP5
Dnah1,DNAH1
Grpr,GRPR
Appl1,APPL1
Appl2,APPL2
Mapt,MAPT
Bbs9,BBS9
Pdcd1lg2,PDCD1LG2
Cd274,CD274
4930453N24Rik,C3orf38
2510002D24Rik,C22orf39
Siglec1,SIGLEC1
2510039O18Rik,KIAA2013
Sh2d6,SH2D6
Erfe,ERFE
C030006K11Rik,C8orf82
Rtp1,RTP1
Rtp4,RTP4
Actn1,ACTN1
Map3k9,MAP3K9
Tmc8,TMC8
Stmn3,STMN3
Pacs2,PACS2
Vill,VILL
Disc1,DISC1
Gemin6,GEMIN6
Eif2ak4,EIF2AK4
Card14,CARD14
Kif19b,KIF19BP
Pfkfb1,PFKFB1
Glyatl3,GLYATL3
Gm4952,GLYAT
Hs3st6,HS3ST6
Cimap3,CIMAP3
Art3,ART3
Litafd,LITAFD
Chst8,CHST8
Chst9,CHST9
Pde6b,PDE6B
Rufy1,RUFY1
Apc2,APC2
Olfml1,OLFML1
Thumpd2,THUMPD2
Ttc6,TTC6
Erlin2,ERLIN2
Lsm10,LSM10
Eml6,EML6
Dgke,DGKE
Cacna1g,CACNA1G
Igfbp6,IGFBP6
Slc23a2,SLC23A2
Tacc1,TACC1
Erfl,ERFL
Elk1,ELK1
Nt5m,NT5M
Pcsk2,PCSK2
Pcdh17,PCDH17
Fuz,FUZ
Fat4,FAT4
Nhs,NHS
Tbx22,TBX22
F8,F8
Nms,NMS
Raver2,RAVER2
Upf2,UPF2
Skap1,SKAP1
Akap11,AKAP11
Lyl1,LYL1
Tfeb,TFEB
Plekhg2,PLEKHG2
Lrp6,LRP6
Usp54,USP54
Kcnb1,KCNB1
Kif13a,KIF13A
Tdp1,TDP1
Rpap1,RPAP1
She,SHE
Nlgn1,NLGN1
Fancm,FANCM
Efhb,EFHB
Macc1,MACC1
Amotl1,AMOTL1
Dyrk4,DYRK4
Dbf4,DBF4
Chn2,CHN2
Tbrg4,TBRG4
Gpha2,GPHA2
Ubr1,UBR1
Recql4,RECQL4
Fam98a,TSLIG3A
Birc6,BIRC6
Ltbp1,LTBP1
Slc46a3,SLC46A3
Cd96,CD96
Neto1,NETO1
Med11,MED11
Trib2,TRIB2
Trib1,TRIB1
Pds5b,PDS5B
Srxn1,SRXN1
Dennd3,DENND3
Ppm1j,PPM1J
Rnf6,RNF6
Atp8a2,ATP8A2
Gpr12,GPR12
Usp15,USP15
Usp21,USP21
Usp45,USP45
Brcc3,BRCC3
Stambpl1,STAMBPL1
Card11,CARD11
Bcl10,BCL10
Mmp21,MMP21
Ifi35,IFI35
Ppfia3,PPFIA3
Gpr75,GPR75
Ablim2,ABLIM2
Map3k8,MAP3K8
Frmpd3,FRMPD3
Afap1l2,AFAP1L2
Nhlrc2,NHLRC2
Dpy19l3,DPY19L3
Tnrc18,TNRC18
Hectd2,HECTD2
Kctd20,KCTD20
Rilp,RILP
Git1,GIT1
Asxl2,ASXL2
Tymp,TYMP
Fjx1,FJX1
Abtb2,ABTB2
Ttc17,TTC17
Isg20,ISG20
Ninj2,NINJ2
B4galnt4,B4GALNT4
Rassf3,RASSF3
Epgn,EPGN
Ppip5k1,PPIP5K1
Aldh1l2,ALDH1L2
Vmac,VMAC
Nrtn,NRTN
Chpf,CHPF
Btbd16,BTBD16
Prune1,PRUNE1
Ttbk1,TTBK1
Armc6,ARMC6
Pigu,PIGU
Kcng2,KCNG2
Ccdc88a,CCDC88A
Rock1,ROCK1
Gpr137b,GPR137B
Ccnj,CCNJ
Prok2,PROK2
Naglu,NAGLU
Clip2,CLIP2
Itgb7,ITGB7
Stx1a,STX1A
Rnf5,RNF5
Snx20,SNX20
Cpne8,CPNE8
Fes,FES
Aatk,LMTK1
Abl1,ABL1
Cachd1,CACHD1
Maml1,MAML1
Aff4,AFF4
Sned1,SNED1
Klhl30,KLHL30
Jakmip3,JAKMIP3
Ceacam18,CEACAM18
Ceacam16,CEACAM16
Cd28,CD28
Siglec15,SIGLEC15
Igsf6,IGSF6
Gimap7,GIMAP7
Gpr174,GPR174
Col4a4,COL4A4
Uimc1,UIMC1
Grk6,GRK6
Dok3,DOK3
Impg1,IMPG1
Ankrd13d,ANKRD13D
Ccdc33,CCDC33
Arhgef6,ARHGEF6
Timm22,TIMM22
Srpk3,SRPK3
Ptpn5,PTPN5
Ptprt,PTPRT
Zdbf2,ZDBF2
Ptprg,PTPRG
Atp10a,ATP10A
Gabrb3,GABRB3
Ptpn7,PTPN7
Man2c1,MAN2C1
B3galt6,B3GALT6
Pusl1,PUSL1
Mmel1,MMEL1
Cep72,CEP72
Mtrr,MTRR
Scarf2,SCARF2
Rasal3,RASAL3
Phldb3,PHLDB3
Gpr4,GPR4
Sdr42e2,SDR42E2
Ppp2r5b,PPP2R5B
Xrra1,XRRA1
Rap1gds1,RAP1GDS1
Phactr1,PHACTR1
Angpt4,ANGPT4
Anks1,ANKS1A
Cyp2r1,CYP2R1
Rxfp1,RXFP1
Ap1m1,AP1M1
Rnf167,RNF167
Cass4,CASS4
Prrc2b,PRRC2B
Nup214,NUP214
Qsox2,QSOX2
P2ry12,P2RY12
P2ry13,P2RY13
Rnf212,RNF212
Ctnnd1,CTNND1
L3mbtl4,L3MBTL4
Rinl,RINL
Kl,KL
Adamts3,ADAMTS3
Kcnk7,KCNK7
Eml3,EML3
Peli3,PELI3
Ost4,OST4
Tmem214,TMEM214
Osbpl8,OSBPL8
Glipr1l2,GLIPR1L2
Fam161a,FAM161A
Pdzd8,PDZD8
Smoc1,SMOC1
Cdkn2d,CDKN2D
Rps19bp1,RPS19BP1
Ccdc66,CCDC66
Ip6k1,IP6K1
Pot1a,POT1
Mrpl52,MRPL52
Man2a2,MAN2A2
Serpina1f,SERPINA2
Slc9b2,SLC9B2
Slc9b1,SLC9B1
Cr2,CR2
Clec9a,CLEC9A
Clec1a,CLEC1A
Clec7a,CLEC7A
Cd69,CD69
Proca1,PROCA1
Stxbp4,STXBP4
Iqub,IQUB
Arhgap9,ARHGAP9
Npc1l1,NPC1L1
Susd4,SUSD4
Gfra3,GFRA3
Shprh,SHPRH
Tpo,TPO
Dscaml1,DSCAML1
Ccdc39,CCDC39
Cntd1,CNTD1
Tex9,TEX9
B4galt3,B4GALT3
Tmem97,TMEM97
Pipox,PIPOX
Cc2d1a,CC2D1A
Klb,KLB
Intu,INTU
Cd163,CD163
Trim14,TRIM14
Rab3il1,RAB3IL1
Pwwp2b,PWWP2B
Proser1,PROSER1
Cyp27b1,CYP27B1
Prkrip1,PRKRIP1
Hmgxb3,HMGXB3
Myoz3,MYOZ3
Lgr4,LGR4
Fbxl17,FBXL17
Fam89a,FAM89A
Rps6kl1,RPS6KL1
Vash1,VASH1
Angel1,ANGEL1
Iglc3,IGLC7
Bod1l,BOD1L1
Ano3,ANO3
Fam193b,FAM193B
Mblac1,MBLAC1
Clec3a,CLEC3A
Mpped1,MPPED1
Dgkz,DGKZ
Capn7,CAPN7
Kcng3,KCNG3
Cd302,CD302
Arsb,ARSB
Mustn1,MUSTN1
Mars2,MARS2
Ogdhl,OGDHL
Fbrs,FBRS
Trpm6,TRPM6
Spata17,SPATA17
Patz1,PATZ1
Aadat,AADAT
Mfap3l,MFAP3L
Cacng5,CACNG5
Chdh,CHDH
Kcnk12,KCNK12
Ppp1r1b,PPP1R1B
Poldip3,POLDIP3
Lpar3,LPAR3
Klhl3,KLHL3
Akap6,AKAP6
Syce1,SYCE1
Syce1l,SYCE1L
9530068E07Rik,C5orf15
1700088E04Rik,C22orf23
AU021092,C16orf89
Ffar1,FFAR1
Lrrc8e,LRRC8E
Kcns1,KCNS1
Alx3,ALX3
Irag1,IRAG1
Adm,ADM
Galnt3,GALNT3
Csrnp3,CSRNP3
Grb14,GRB14
Chd5,CHD5
Gpbar1,GPBAR1
Mms19,MMS19
Clmp,CLMP
Dgki,DGKI
Kcnj6,KCNJ6
Snapc2,SNAPC2
Rasip1,RASIP1
Cckar,CCKAR
Wdr25,WDR25
Drc7,DRC7
Plekho2,PLEKHO2
Gemin7,GEMIN7
Selplg,SELPLG
Sstr4,SSTR4
Tex26,TEX26
Bahd1,BAHD1
Rpusd2,RPUSD2
Dpep3,DPEP3
Dpep2,DPEP2
Ccdc17,CCDC17
Il6,IL6
Hc,C5
Il21,IL21
Nthl1,NTHL1
Marco,MARCO
Atp13a3,ATP13A3
Rfwd3,RFWD3
Rhbdl1,RHBDL1
Ankrd40,ANKRD40
Mgmt,MGMT
Atox1,ATOX1
Ccdc69,CCDC69
Mtbp,MTBP
Tgfbr3l,TGFBR3L
Klhdc8a,KLHDC8A
Shroom3,SHROOM3
Stbd1,STBD1
Cep164,CEP164
Phf21b,PHF21B
Limd2,LIMD2
Bcl6b,BCL6B
Slc16a11,SLC16A11
Slc16a13,SLC16A13
Tnfrsf11a,TNFRSF11A
Pop1,POP1
Tnip2,TNIP2
Jmjd8,JMJD8
Gcnt7,GCNT7
Gcnt2,GCNT2
Snta1,SNTA1
Pcif1,PCIF1
Sec24a,SEC24A
Tmem132e,TMEM132E
Mcm8,MCM8
Fam161b,FAM161B
Gal3st3,GAL3ST3
Psmg4,PSMG4
Frmpd4,FRMPD4
Tub,TUB
Msantd4,MSANTD4
Gucy1a2,GUCY1A2
Ushbp1,USHBP1
Crocc,CROCC
Acsf3,ACSF3
Xrcc2,XRCC2
Dydc1,DYDC1
Dydc2,DYDC2
Tbata,TBATA
Adamts17,ADAMTS17
Adamtsl3,ADAMTSL3
Serinc4,SERINC4
Lmf1,LMF1
Chd3,CHD3
Snx25,SNX25
Ankrd34c,ANKRD34C
Dnajc14,DNAJC14
Muc5b,MUC5B
Phf13,PHF13
Pigv,PIGV
Uba7,UBA7
Slc16a8,SLC16A8
Sh3bp1,SH3BP1
Map7d3,MAP7D3
Ecm1,ECM1
Tubgcp6,TUBGCP6
Chadl,CHADL
Gmnc,GMNC
Ostn,OSTN
Igflr1,IGFLR1
Nags,NAGS
Hdac5,HDAC5
Gan,GAN
Eme2,EME2
Msantd1,MSANTD1
Il16,IL16
Stard5,STARD5
Mthfsl,MTHFS
Slc25a1,SLC25A1
Tbc1d10c,TBC1D10C
Mex3a,MEX3A
Stmnd1,STMND1
Zfat,ZFAT
Rb1cc1,RB1CC1
Mocs1,MOCS1
Nanos2,NANOS2
Nckipsd,NCKIPSD
Efemp1,EFEMP1
Rnf20,RNF20
Agap1,AGAP1
Pik3ca,PIK3CA
Sash3,SASH3
Slc6a14,SLC6A14
Shkbp1,SHKBP1
Phka2,PHKA2
Unc93b1,UNC93B1
Ptdss2,PTDSS2
Dmwd,DMWD
Gvin2,GVINP1
Card10,CARD10
Tcap,TCAP
Mtnap1,MTNAP1
Fdxr,FDXR
Fank1,FANK1
Dhx32,DHX32
Sema4d,SEMA4D
Miip,MIIP
Prrg2,PRRG2
Ccdc83,CCDC83
Akt1,AKT1
Gzf1,GZF1
Lamtor1,LAMTOR1
Spink4,SPINK4
Qpct,QPCT
Sycp2l,SYCP2L
Smim20,SMIM20
E2f1,E2F1
Zfp608,ZNF608
Umod,UMOD
Gp2,GP2
2610528J11Rik,C1orf210
Prrt3,PRRT3
Gpr33,GPR33
Msh4,MSH4
Steap2,STEAP2
Ralgapa2,RALGAPA2
Pde4a,PDE4A
Prss43,PRSS43P
Prss46,PRSS46P
Prss44,PRSS44P
Prss50,PRSS50
Prss47,PRSS47P
6430571L13Rik,C3orf18
Mxra7,MXRA7
Gm13889,C11orf96
Muc13,MUC13
Zfyve1,ZFYVE1
Erich2,ERICH2
Slc7a15,SLC7A15P
Itgal,ITGAL
Trpc3,TRPC3
Slitrk4,SLITRK4
Frmpd1,FRMPD1
Tex11,TEX11
Lrp10,LRP10
Inf2,INF2
Lin28b,LIN28B
Sco1,SCO1
Pnpla1,PNPLA1
Fads6,FADS6
Npr2,NPR2
Mcc,MCC
Cd48,CD48
Klk12,KLK12
Gprin2,GPRIN2
BC051019,C11orf16
Gpr62,GPR62
1110002E22Rik,C4orf54
Fam107a,FAM107A
Spindoc,SPINDOC
Lrrn4cl,LRRN4CL
Efcc1,EFCC1
Kdm5a,KDM5A
Dqx1,DQX1
Foxo4,FOXO4
Tex14,TEX14
Cpxm2,CPXM2
Slc7a11,SLC7A11
Stx19,STX19
Kcnj15,KCNJ15
Ssh3,SSH3
Tcaim,TCAIM
Tarm1,TARM1
Fcrla,FCRLA
Lilra5,LILRA5
Ncr1,NCR1
Gp6,GP6
Wnk2,WNK2
Slc51b,SLC51B
Ccdc166,CCDC166
Iqgap3,IQGAP3
Ppef2,PPEF2
Samd14,SAMD14
Muc12,MUC12
Muc17,MUC17
1810009A15Rik,C11orf98
Sapcd1,SAPCD1
Cfap99,CFAP99
Lsm3,LSM3
Rell1,RELL1
Manbal,MANBAL
Mad2l1bp,MAD2L1BP
Cacul1,CACUL1
Ppic,PPIC
Slc37a3,SLC37A3
Sprtn,SPRTN
Spag8,SPAG8
Hacd1,HACD1
Eng,ENG
Slc6a13,SLC6A13
Bphl,BPHL
Mlana,MLANA
Lat,LAT
C5ar1,C5AR1
Kif1c,KIF1C
Nek3,NEK3
Cenpq,CENPQ
Togaram1,TOGARAM1
Slc35d3,SLC35D3
Grik3,GRIK3
Ythdc2,YTHDC2
Tmem229a,TMEM229A
Zfp821,ZNF821
Sctr,SCTR
Cd207,CD207
Grm7,GRM7
Map4k1,MAP4K1
Tex47,TEX47
Pierce2,PIERCE2
Traf3ip3,TRAF3IP3
Evx2,EVX2
Gata4,GATA4
Wnt8b,WNT8B
Dbh,DBH
Frat2,FRAT2
Frat1,FRAT1
Sox17,SOX17
A1bg,A1BG
A2m,A2M
A3galt2,A3GALT2
A4galt,A4GALT
A4gnt,A4GNT
Aadacl2,AADACL2
Abca13,ABCA13
Abca6,ABCA6
Abca8b,ABCA8
Abca9,ABCA9
Abcd2,ABCD2
Abhd1,ABHD1
Abhd5,ABHD5
Abo,ABO
Acad12,ACAD10
Accsl,ACCSL
Acd,ACD
Ace3,ACE3P
Ackr1,ACKR1
Ackr2,ACKR2
Acot12,ACOT12
Acox2,ACOX2
Acp3,ACP3
Acp4,ACP4
Acr,ACR
Acrbp,ACRBP
Acrv1,ACRV1
Acss2,ACSS2
Actbl2,ACTBL2
Actl10,ACTL10
Actl11,ACTL11P
Actl7a,ACTL7A
Actl7b,ACTL7B
Actl9,ACTL9
Actrt1,ACTRT1
Actrt2,ACTRT2
Actrt3,ACTRT3
Acvr1c,ACVR1C
Adam18,ADAM18
Adam1a,ADAM1A
Adam1b,ADAM1B
Adam2,ADAM2
Adam39,ADAM20
Adam21,ADAM21
Adam24,ADAM24P
Adam29,ADAM29
Adam30,ADAM30
Adam32,ADAM32
Adam3,ADAM3A
Adam5,ADAM5
Adam6a,ADAM6
Adam7,ADAM7
Adamdec1,ADAMDEC1
Adamts14,ADAMTS14
Adamts16,ADAMTS16
Adamts19,ADAMTS19
Adamts20,ADAMTS20
Adamts4,ADAMTS4
Adamts5,ADAMTS5
Adamts7,ADAMTS7
9530026P05Rik,ADAMTS9-AS2
Adamtsl1,ADAMTSL1
Adap1,ADAP1
Adcy10,ADCY10
Adcy4,ADCY4
Adgrd2-ps,ADGRD2
Adgre4,ADGRE4P
Adig,ADIG
Adora1,ADORA1
Aen,AEN
Afm,AFM
Afp,AFP
Agbl1,AGBL1
Agbl3,AGBL3
Ager,AGER
Agtrap,AGTRAP
Ahnak2,AHNAK2
Ahsp,AHSP
Aif1,AIF1
Aifm3,AIFM3
Aim2,AIM2
Airn,AIRN
Ak3,AK3
Akain1,AKAIN1
Akap14,AKAP14
Akap17a,AKAP17A
Akap3,AKAP3
Akap4,AKAP4
Akap5,AKAP5
Akap7,AKAP7
Akap8,AKAP8
Akap8l,AKAP8L
Akr1d1,AKR1D1
Akr1e1,AKR1E2
Alb,ALB
Aldh1a1,ALDH1A1
Als2cl,ALS2CL
Ambn,AMBN
Amhr2,AMHR2
Amigo2,AMIGO2
Amtn,AMTN
Amz1,AMZ1
Amz2,AMZ2
Ankar,ANKAR
Ankrd16,ANKRD16
Ankrd17,ANKRD17
Ankrd23,ANKRD23
Ankrd26,ANKRD26
Ankrd31,ANKRD31
Ankrd34a,ANKRD34A
Ankrd35,ANKRD35
Ankrd37,ANKRD37
Ankrd40cl,ANKRD40CL
Ankrd42,ANKRD42
Ankrd44,ANKRD44
Ankrd60,ANKRD60
Ankrd61,ANKRD61
Ankrd63,ANKRD63
Ankrd66,ANKRD66
Ankrd7,ANKRD7
Ankub1,ANKUB1
Ano4,ANO4
Anxa10,ANXA10
Anxa2r2,ANXA2R
Anxa7,ANXA7
Aoah,AOAH
Ap2a2,AP2A2
Ap3b2,AP3B2
Ap4e1,AP4E1
Apba3,APBA3
Apcdd1,APCDD1
Apoa5,APOA5
Apobec1,APOBEC1
Apobec4,APOBEC4
Apobr,APOBR
Apoc1,APOC1
Apoc2l,APOC2
Apoc3,APOC3
Apoc4,APOC4
Apon,APONP
Aqp2,AQP2
Aqp5,AQP5
Aqp6,AQP6
Arap3,ARAP3
Arc,ARC
Arhgap26,ARHGAP26
Arhgap30,ARHGAP30
Arhgap40,ARHGAP40
Arhgap8,ARHGAP8
Arhgef26,ARHGEF26
Arih2os,ARIH2OS
Arl14epl,ARL14EPL
Arln,ARLN
Armc12,ARMC12
Armc5,ARMC5
Armc9,ARMC9
Armcx1,ARMCX1
Armcx2,ARMCX2
Armcx3,ARMCX3
Armcx4,ARMCX4
Armcx5,ARMCX5
Armcx6,ARMCX6
Armcx7-ps,ARMCX7P
Armh2,ARMH2
Armh4,ARMH4
Arrdc4,ARRDC4
Arrdc5,ARRDC5
Arsj,ARSJ
Art2b,ART2BP
Art2a,ART2P
Artn,ARTN
Asb17,ASB17
Asb9,ASB9
Ascl2,ASCL2
Ascl3,ASCL3
Ascl4,ASCL4
Ascl5,ASCL5
Asic5,ASIC5
Asph,ASPH
Asprv1,ASPRV1
Astn2,ASTN2
Asxl3,ASXL3
Gm4275,ATE1OSP
Atp12a,ATP12A
Atp13a1,ATP13A1
Atp13a4,ATP13A4
Atp13a5,ATP13A5
Atp1a4,ATP1A4
Atp2c2,ATP2C2
Atp4a,ATP4A
Atp4b,ATP4B
Atp5mc2,ATP5MC2
Atp6ap2,ATP6AP2
Atp6v0a4,ATP6V0A4
Atp6v0d2,ATP6V0D2
Atp6v1b1,ATP6V1B1
Atp9a,ATP9A
Atpsckmt,ATPSCKMT
Atrn,ATRN
5033430I15Rik,ATXN1-AS1
Atxn1l,ATXN1L
Atxn3,ATXN3
Atxn7,ATXN7
Atxn7l3b,ATXN7L3B
Aunip,AUNIP
Avpr1b,AVPR1B
Awat1,AWAT1
Awat2,AWAT2
Axl,AXL
Azin2,AZIN2
B3galnt1,B3GALNT1
B3galt9,B3GALT9
B3gat3,B3GAT3
B3gnt4,B3GNT4
B3gnt6,B3GNT6
Bak1,BAK1
Banf2,BANF2
Bank1,BANK1
Batf2,BATF2
Bbx,BBX
Bcas1,BCAS1
Bche,BCHE
Bcl2a1c,BCL2A1
Bcl2l15,BCL2L15
Bcl2l2,BCL2L2
Bcl7c,BCL7C
Bclaf1,BCLAF1
Bend4,BEND4
Best3,BEST3
Bex3,BEX3
Bex4,BEX4
Bfar,BFAR
Bfsp1,BFSP1
Bik,BIK
Bltp2,BLTP2
Bmncr,BMNCR
Bmp8b,BMP8B
Bmx,BMX
Bnip2,BNIP2
Bnip5,BNIP5
Boll,BOLL
Bpi,BPI
Bpifa1,BPIFA1
Bpifa2,BPIFA2
Bpifa3,BPIFA3
Bpifb1,BPIFB1
Bpifb2,BPIFB2
Bpifb3,BPIFB3
Bpifb4,BPIFB4
Bpifb5,BPIFB5P
Bpifb6,BPIFB6
Bpifb9a,BPIFB9P
Bpifc,BPIFC
Bpnt1,BPNT1
Brca1,BRCA1
Brd10,BRD10
Brd3os,BRD3OS
Brix1,BRIX1
Brme1,BRME1
Brs3,BRS3
Bsph1,BSPH1
Bst1,BST1
Bst2,BST2
Btbd1,BTBD1
Btbd18,BTBD18
Btbd19,BTBD19
Btk,BTK
Btnl12,BTNL12P
Btnl2,BTNL2
Btrc,BTRC
Gm17455,C10orf105
4933402N03Rik,C10orf120
9430038I01Rik,C10orf143
4933411K16Rik,C10orf62
Gm5901,C11orf42
Gm5617,C11orf71
2010003K11Rik,C11orf86
A930018P22Rik,C11orf91
1700012B09Rik,C11orf97
1700113H08Rik,C12orf42
Zc3h11d,ZC3H11D
1700031M16Rik,C12orf54
BC049715,C12orf60
1700034J05Rik,C12orf71
Gm4131,C13orf42
1700029H14Rik,C13orf46
D430019H16Rik,C14orf132
A530016L24Rik,C14orf180
4930447C04Rik,C14orf39
4931414P19Rik,C14orf93
Gm14137,C15orf62
AI467606,C16orf54
4933402J07Rik,C16orf78
4933405L10Rik,C16orf86
1700037C18Rik,C16orf90
Fimp1,FIMP1
1700018B08Rik,C16orf95
4930562C15Rik,C16orf96
4930563E22Rik,C17orf100
4930544D05Rik,C17orf107
Gm40193,C17orf114
1700020L24Rik,PGBDF
1810010H24Rik,C17orf58
Gm11437,C17orf78
6030468B19Rik,IL40
BC031181,C18orf32
2900092C05Rik,C19orf18
2200002D01Rik,C19orf33
AB124611,C19orf38
2410002F23Rik,C19orf48P
1700008O03Rik,C19orf81
Gm38999,C19orf84
Gm36210,C19orf85
4930558K02Rik,C1orf105
1110065P20Rik,C1orf122
4921539E11Rik,C1orf141
I830077J02Rik,C1orf162
4930522H14Rik,C1orf185
5730409E04Rik,C1orf216
Gm7694,C1orf226
Gm30191,C1orf232
BC028528,C1orf54
Gm128,C1orf56
Gm12695,C1orf87
CK137956,C1orf94
C1ql2,C1QL2
C1qtnf3,C1QTNF3
C1qtnf7,C1QTNF7
C1ra,C1R
C1rl,C1RL
C2,C2
1700020A23Rik,C20orf141
1700003F12Rik,C20orf144
6430550D23Rik,C20orf173
Tmem74bos,C20orf202
Gm29797,C20orf204
Fam243,C21orf140
Gm867,C22orf15
4930407I10Rik,C22orf46P
C2cd2,C2CD2
C2cd4c,C2CD4C
Gm34066,C2orf66
2810459M11Rik,C2orf72
Dema1,DEMA1
Gm4884,C2orf78
D630023F18Rik,C2orf80
1700003E16Rik,C2orf81
4933424G06Rik,C2orf92
C3ar1,C3AR1
4930590J08Rik,FAM194C
BC048671,C3orf22
Gm11100,C3orf49
BC016579,C3orf52
1700102P08Rik,C3orf62
1110032F04Rik,C3orf80
Gm5485,C3orf85
Gm35549,C3orf86P
4930579F01Rik,C4orf17
1700016H13Rik,C4orf36
4930579G24Rik,C4orf46
Gm1043,C4orf50
1700011L22Rik,C4orf51
C5ar2,C5AR2
Gm94,C5orf46
4930524B15Rik,C5orf47
4921536K21Rik,C5orf52
4930469K13Rik,C5orf58
1700010I14Rik,C6orf118
AI661453,C6orf132
9130008F23Rik,C6orf141
2300002M23Rik,C6orf15
Gm136,C6orf163
D17H6S53E,C6orf47
Gm11992,C7orf57
AI429214,C8orf48
9930012K11Rik,C8orf58
Gm11837,C8orf88
4930444P10Rik,C8orf89
Gm6569,C8orf90
D630039A03Rik,C9orf152
4921517D22Rik,C9orf153
D030056L22Rik,C9orf40
4933430I17Rik,C9orf43
1700001O22Rik,C9orf50
Gm3443,C9orf57
Ca11,CA11
Caap1,CAAP1
Cabs1,CABS1
Cabyr,CABYR
Cage1,CAGE1
Calcoco2,CALCOCO2
Calhm3,CALHM3
Calml3,CALML3
Calm5,CALML5
Calr4,CALR4P
Caly,CALY
Camkk2,CAMKK2
Camp,CAMP
Capn6,CAPN6
Capza3,CAPZA3
Card6,CARD6
Carmn,CARMN
Carns1,CARNS1
Casp14,CASP14
Casp16,CASP16P
Catsper1,CATSPER1
Catsper2,CATSPER2
Catsper3,CATSPER3
Catsper4,CATSPER4
Catsperb,CATSPERB
Catsperd,CATSPERD
Catspere1,CATSPERE
Catsperg1,CATSPERG
Catsperh,CATSPERH
Catsperq,CATSPERQ
Capstert,CATSPERT
Catsperz,CATSPERZ
Cblb,CBLB
Cblif,CBLIF
Cbln1,CBLN1
Cbln3,CBLN3
Cby2,CBY2
Cc2d2b,CC2D2B
Ccdc107,CCDC107
Ccdc110,CCDC110
Ccdc112,CCDC112
Ccdc116,CCDC116
Ccdc121rt2,CCDC121
Ccdc122,CCDC122
Ccdc138,CCDC138
Ccdc148,CCDC148
Ccdc152,CCDC152
Ccdc154,CCDC154
Ccdc158,CCDC158
Ccdc159,CCDC159
Ccdc160,CCDC160
Ccdc162,CCDC162P
Ccdc163,CCDC163
Ccdc178,CCDC178
Ccdc179,CCDC179
Ccdc182,CCDC182
Ccdc183,CCDC183
Ccdc184,CCDC184
Ccdc185,CCDC185
Ccdc187,CCDC187
Ccdc188,CCDC188
Ccdc190,CCDC190
Ccdc192,CCDC192
Ccdc194,CCDC194
Ccdc196,CCDC196
Ccdc198,CCDC198
Ccdc200,CCDC200
Ccdc201,CCDC201
Ccdc27,CCDC27
Ccdc38,CCDC38
Ccdc54,CCDC54
Ccdc60,CCDC60
Ccdc68,CCDC68
Ccdc7a,CCDC7
Ccdc70,CCDC70
Ccdc71l,CCDC71L
Ccdc8,CCDC8
